timestamp;lat;long;last_surface_time;last_battery_fraction;last_serviced_time
1660479682;65.325737;7.3174;1660414937;81;1540232516
1661084482;65.325800;7.3171;1660933337;81;1540232516
1661689282;65.325960;7.3170;1661538137;83;1540232516
1662294082;65.325827;7.3178;1662142937;67;1540232516
1662898882;65.325690;7.3177;1662747737;83;1540232516
1663503682;65.325767;7.3179;1663352537;74;1540232516
1664108482;65.325890;7.3175;1663957337;83;1540232516
1664626882;65.325928;7.3173;1664648537;67;1540232516
1665231682;65.325888;7.3171;1665253337;81;1540232516
1665836482;65.325683;7.3175;1665858137;83;1540232516
1666441282;65.325719;7.3180;1666462937;50;1540232516
