unix_seconds;temperature2
0;13.97
10;14.00
21;13.95
31;13.91
41;13.98
51;14.00
61;14.00
72;14.03
82;13.97
92;13.82
102;13.86
112;13.98
123;13.98
133;14.67
143;15.15
153;15.72
164;16.32
174;17.63
184;18.23
194;19.00
204;19.55
215;20.19
225;21.52
235;22.13
245;22.60
256;23.08
266;23.87
276;24.14
286;24.46
296;24.57
307;24.83
317;25.13
327;25.33
337;25.48
347;25.69
358;26.16
368;26.41
378;26.50
388;26.67
399;26.80
409;26.95
419;27.09
429;27.20
439;27.27
450;27.30
460;27.49
470;27.54
480;27.65
490;27.75
501;27.94
511;28.00
521;28.13
531;28.23
542;28.47
552;28.49
562;28.56
572;28.66
582;28.76
593;28.90
603;28.98
613;29.09
623;29.20
633;29.47
644;29.61
654;29.63
664;29.65
674;29.73
685;29.78
695;29.81
705;30.02
715;30.03
725;30.08
736;30.15
746;30.20
756;30.17
766;30.23
777;30.39
787;30.41
797;30.50
807;30.44
817;30.59
828;30.56
838;30.63
848;30.73
858;30.77
869;30.71
879;30.80
889;30.82
899;30.88
909;30.87
920;30.92
930;30.99
940;31.04
950;31.08
960;31.13
971;31.08
981;31.11
991;31.27
1001;31.22
1011;31.21
