unix_seconds;battery
1666462677.352586;0.99925
1666462713.352361;0.997125
1666462749.351561;0.997175
1666462785.350786;0.995325
1666462821.351211;0.9929
1666462857.350936;0.9928250000000001
1666462893.351686;0.99065
1666462929.351486;0.990375
1666462965.351786;0.98935
1666463001.352036;0.9869
1666463037.352111;0.986475
1666463073.351411;0.9858
1666463109.353061;0.98355
1666463145.351136;0.98305
1666463181.351586;0.98245
1666463217.352486;0.9798749999999999
1666463253.350961;0.97775
1666463289.352186;0.9771
1666463325.351911;0.9751500000000001
1666463361.352561;0.9749249999999999
1666463397.351036;0.972575
1666463433.350911;0.972475
1666463469.350836;0.9716250000000001
1666463505.352036;0.969375
1666463541.350761;0.968575
1666463577.352661;0.9673
1666463613.350936;0.9655250000000001
1666463649.351836;0.9660500000000001
1666463685.353211;0.9649249999999999
1666463721.353011;0.9628
1666463757.351511;0.961775
1666463793.350961;0.960825
1666463829.353261;0.9586
1666463865.353011;0.9576749999999999
1666463901.352511;0.95515
1666463937.353186;0.9539000000000001
1666463973.352811;0.9538249999999999
1666464009.352336;0.95375
1666464045.352411;0.95095
1666464081.351486;0.9490500000000001
1666464117.352186;0.949475
1666464153.3519363;0.948325
1666464189.3516862;0.945725
1666464225.3531861;0.944875
1666464261.3530612;0.9436
1666464297.3522112;0.941875
1666464333.3521113;0.941325
1666464369.3528113;0.94015
1666464405.3515363;0.939175
1666464441.3509612;0.9368
1666464477.3520613;0.936625
1666464513.3517113;0.9339500000000001
1666464549.3525612;0.9328500000000001
1666464585.3519611;0.9324749999999999
1666464621.3511112;0.930175
1666464657.3516862;0.9293250000000001
1666464693.3514612;0.9292999999999999
1666464729.3522112;0.9269499999999999
1666464765.3521862;0.927075
1666464801.3516362;0.925925
1666464837.3509862;0.924925
1666464873.3511612;0.922325
1666464909.3527613;0.9214
1666464945.3529613;0.92055
1666464981.3508363;0.9178000000000001
1666465017.3528361;0.9174249999999999
1666465053.3524113;0.91715
1666465089.3508112;0.9155
1666465125.3513362;0.912625
1666465161.3526611;0.91295
1666465197.3509362;0.911775
1666465233.3507862;0.909125
1666465269.3531613;0.9077000000000001
1666465305.3511112;0.9071499999999999
1666465341.3516111;0.905175
1666465377.3516862;0.9044
1666465413.3528113;0.904275
1666465449.3532362;0.9022
1666465485.3526363;0.901025
1666465521.3530362;0.89995
1666465557.3532112;0.89935
1666465593.3508363;0.8974749999999999
1666465629.3516362;0.89505
1666465665.3529613;0.8946
1666465701.3515613;0.8937
1666465737.3526862;0.8913500000000001
1666465773.3524363;0.8908999999999999
1666465809.3510861;0.889
1666465845.3514361;0.8889
1666465881.3524613;0.8876000000000001
1666465917.3522863;0.8853
1666465953.3519862;0.88625
1666465989.3531363;0.8844
1666466025.3515863;0.88295
1666466061.3519611;0.88185
1666466097.3524613;0.880425
1666466133.3529863;0.877675
1666466169.3530612;0.876475
1666466205.3529613;0.8753749999999999
1666466241.3528361;0.875375
1666466277.3519611;0.874125
1666466313.3517613;0.871475
1666466349.3530362;0.8718750000000001
1666466385.3531613;0.8704999999999999
1666466421.3520362;0.867725
1666466457.3518112;0.8664000000000001
1666466493.3511612;0.866925
1666466529.3530612;0.865675
1666466565.3519611;0.862725
1666466601.3509612;0.86345
1666466637.3531613;0.8614
1666466673.3508613;0.8605499999999999
1666466709.3530362;0.857775
1666466745.3508363;0.8585
1666466781.3526363;0.856975
1666466817.3524363;0.8548749999999999
1666466853.3514361;0.8539249999999999
1666466889.3512113;0.851475
1666466925.3525362;0.8501500000000001
1666466961.3528113;0.8496
1666466997.3531864;0.848675
1666467033.3525615;0.8475
1666467069.3514116;0.847125
1666467105.3520865;0.8459249999999999
1666467141.3513365;0.844275
1666467177.3525615;0.8437
1666467213.3527365;0.842425
1666467249.3531365;0.8406250000000001
1666467285.3508615;0.8381
1666467321.3510365;0.838025
1666467357.3528614;0.83645
1666467393.3512115;0.834
1666467429.3531864;0.834625
1666467465.3532615;0.83305
1666467501.3513615;0.8315
1666467537.3525364;0.8302750000000001
1666467573.3513114;0.828075
1666467609.3519115;0.828425
1666467645.3530114;0.8260000000000001
1666467681.3517864;0.8244750000000001
1666467717.3523114;0.82455
1666467753.3522365;0.823125
1666467789.3529365;0.820225
1666467825.3532364;0.8187500000000001
1666467861.3528864;0.8187500000000001
1666467897.3513615;0.818125
1666467933.3527365;0.815725
1666467969.3513365;0.8148500000000001
1666468005.3521614;0.8129
1666468041.3510864;0.81275
1666468077.3525364;0.81125
1666468113.3521364;0.810725
1666468149.3523865;0.8098000000000001
1666468185.3532364;0.8074749999999999
1666468221.3520365;0.8074749999999999
1666468257.3510616;0.804525
1666468293.3520865;0.8039749999999999
1666468329.3520615;0.8034
1666468365.3530364;0.8012
1666468401.3511865;0.798775
1666468437.3530865;0.79815
1666468473.3530114;0.7985249999999999
1666468509.3525364;0.7958999999999999
1666468545.3522365;0.7947500000000001
1666468581.3528864;0.79395
1666468617.3530865;0.7925249999999999
1666468653.3508866;0.7913749999999999
1666468689.3514116;0.78925
1666468725.3530364;0.789725
1666468761.3528864;0.7862750000000001
1666468797.3527365;0.787
1666468833.3521614;0.78555
1666468869.3512614;0.7847000000000001
1666468905.3508866;0.7825
1666468941.3530614;0.78165
1666468977.3528864;0.7808
1666469013.3512864;0.779275
1666469049.3510864;0.7779750000000001
1666469085.3511865;0.7772249999999999
1666469121.3531365;0.774275
1666469157.3513365;0.7730250000000001
1666469193.3525364;0.7727249999999999
1666469229.3525865;0.77215
1666469265.3514116;0.7711
1666469301.3519614;0.76845
1666469337.3517864;0.7682500000000001
1666469373.3512366;0.765625
1666469409.3531864;0.76445
1666469445.3518114;0.762925
1666469481.3523614;0.763425
1666469517.3512366;0.761675
1666469553.3522615;0.7612
1666469589.3519864;0.758
1666469625.3529365;0.756475
1666469661.3521864;0.7553000000000001
1666469697.3514116;0.7552
1666469733.3515615;0.7548
1666469769.3524616;0.752325
1666469805.3528614;0.7500249999999999
1666469841.3515115;0.75035
1666469877.3522615;0.749025
1666469913.3513117;0.747575
1666469949.3520367;0.7456
1666469985.3528366;0.7457
1666470021.3530617;0.743475
1666470057.3523366;0.7428
1666470093.3529367;0.7401
1666470129.3513618;0.739575
1666470165.3514867;0.7378
1666470201.3521118;0.73865
1666470237.3519118;0.73575
1666470273.3531368;0.73465
1666470309.3523366;0.734525
1666470345.3531618;0.732125
1666470381.3530867;0.7323249999999999
1666470417.3532116;0.7305499999999999
1666470453.3518367;0.729275
1666470489.3526118;0.727175
1666470525.3507617;0.7260000000000001
1666470561.3509367;0.7256250000000001
1666470597.3529618;0.7234499999999999
1666470633.3525617;0.72295
1666470669.3524866;0.7203249999999999
1666470705.3521118;0.7196999999999999
1666470741.3532367;0.7181
1666470777.3508618;0.716525
1666470813.3530617;0.7151000000000001
1666470849.3516867;0.71425
1666470885.3514366;0.7127000000000001
1666470921.3509867;0.712
1666470957.3526866;0.7105250000000001
1666470993.3527868;0.709275
1666471029.3526866;0.7089749999999999
1666471065.3523366;0.7071999999999999
1666471101.3531117;0.7055750000000001
1666471137.3514616;0.703975
1666471173.3529117;0.7048500000000001
1666471209.3524618;0.70155
1666471245.3509367;0.702375
1666471281.3508868;0.69875
1666471317.3512616;0.69775
1666471353.3510618;0.6983
1666471389.3510618;0.697075
1666471425.3532116;0.69525
1666471461.3518367;0.692825
1666471497.3511367;0.691975
1666471533.3521118;0.690575
1666471569.3517118;0.690325
1666471605.3526368;0.6899
1666471641.3514366;0.68625
1666471677.3520868;0.687325
1666471713.3513868;0.6854750000000001
1666471749.3510618;0.684875
1666471785.3522367;0.6833500000000001
1666471821.3517866;0.6824
1666471857.3514118;0.679625
1666471893.3524866;0.6795
1666471929.3521366;0.6779
1666471965.3524117;0.677275
1666472001.3514366;0.675025
1666472037.3531117;0.67435
1666472073.3516867;0.6727000000000001
1666472109.3515618;0.6717
1666472145.3511117;0.6703
1666472181.3526368;0.6678
1666472217.3515117;0.6670499999999999
1666472253.3525867;0.6661
1666472289.3513618;0.666025
1666472325.3522868;0.662525
1666472361.3520117;0.6628250000000001
1666472397.3516867;0.66125
1666472433.3530116;0.660975
1666472469.3522618;0.6592999999999999
1666472505.3514366;0.6565
1666472541.3519866;0.6553249999999999
1666472577.3507617;0.65575
1666472613.3522367;0.65475
1666472649.3511868;0.6535000000000001
1666472685.3517618;0.651225
1666472721.3532367;0.648825
1666472757.351237;0.6488
1666472793.352112;0.6477999999999999
1666472829.352187;0.6458999999999999
1666472865.350937;0.645875
1666472901.3521369;0.64365
1666472937.352087;0.6420750000000001
1666472973.352612;0.6420000000000001
1666473009.352187;0.6406999999999999
1666473045.3517869;0.6392
1666473081.352087;0.6364249999999999
1666473117.351637;0.6366499999999999
1666473153.351137;0.63525
1666473189.353262;0.634275
1666473225.352587;0.6316
1666473261.351287;0.6322500000000001
1666473297.3514369;0.629375
1666473333.351662;0.629675
1666473369.3519619;0.62825
1666473405.350837;0.6255499999999999
1666473441.352462;0.623775
1666473477.350862;0.624825
1666473513.353112;0.623725
1666473549.352787;0.622275
1666473585.351012;0.6191000000000001
1666473621.351012;0.618225
1666473657.3523118;0.616525
1666473693.3510869;0.6173749999999999
1666473729.351662;0.61535
1666473765.351287;0.61355
1666473801.351887;0.6117
1666473837.352587;0.6106
1666473873.351887;0.608875
1666473909.352187;0.6079749999999999
1666473945.352537;0.6081
1666473981.351462;0.6074999999999999
1666474017.351012;0.6045999999999999
1666474053.3514369;0.6042
1666474089.351112;0.602475
1666474125.353137;0.60045
1666474161.350762;0.5995750000000001
1666474197.352787;0.59915
1666474233.352587;0.597375
1666474269.351362;0.5955499999999999
1666474305.353237;0.5961
1666474341.352637;0.5937
1666474377.350812;0.592275
1666474413.352537;0.591875
1666474449.352537;0.5903
1666474485.353262;0.5875000000000001
1666474521.352587;0.587625
1666474557.350787;0.5851000000000001
1666474593.351512;0.5842249999999999
1666474629.3519619;0.5838749999999999
1666474665.351362;0.582625
1666474701.3531868;0.581375
1666474737.3532119;0.579125
1666474773.351662;0.5787500000000001
1666474809.353087;0.57875
1666474845.352362;0.5765750000000001
1666474881.352762;0.5761999999999999
1666474917.3532119;0.5740999999999999
1666474953.351537;0.573375
1666474989.351812;0.572475
1666475025.350762;0.568925
1666475061.3517869;0.5683750000000001
1666475097.352912;0.5686
1666475133.351162;0.566225
1666475169.352387;0.5657749999999999
1666475205.351912;0.564125
1666475241.350887;0.562925
1666475277.351937;0.561775
1666475313.3531868;0.56115
1666475349.3528368;0.5592750000000001
1666475385.352187;0.5568250000000001
1666475421.351562;0.55725
1666475457.351312;0.554075
1666475493.352687;0.554425
1666475529.3519619;0.552825
1666475565.352462;0.551325
1666475601.351337;0.55105
1666475637.353087;0.548475
1666475673.3531623;0.5481
1666475709.3528621;0.5461
1666475745.3531373;0.5438000000000001
1666475781.3508873;0.5434249999999999
1666475817.3509872;0.5425
1666475853.351437;0.540625
1666475889.3507621;0.5403
1666475925.3522873;0.5394
1666475961.3526123;0.536425
1666475997.3511372;0.5364749999999999
1666476033.351787;0.533875
1666476069.3528872;0.5338499999999999
1666476105.3518622;0.5321999999999999
1666476141.3530622;0.532025
1666476177.3530872;0.529025
1666476213.3510373;0.52815
1666476249.3526871;0.5277000000000001
1666476285.3515873;0.527275
1666476321.351437;0.52385
1666476357.352487;0.52285
1666476393.3514123;0.5214
1666476429.3509872;0.5216
1666476465.352312;0.520925
1666476501.3509622;0.5190250000000001
1666476537.3511622;0.51775
1666476573.3510373;0.5165500000000001
1666476609.3528621;0.5155
1666476645.3523371;0.51335
1666476681.3525372;0.5130499999999999
1666476717.3512871;0.51145
1666476753.3512871;0.51035
1666476789.3522122;0.509175
1666476825.3525872;0.5073000000000001
1666476861.352837;0.5068750000000001
1666476897.3513622;0.504975
1666476933.3513873;0.504475
1666476969.3527622;0.5036249999999999
1666477005.3510122;0.5012249999999999
1666477041.3507872;0.50105
1666477077.3508122;0.49935
